dataset,table,labeled_cases,run_id,dice,jaccard,hd95,asd,note,source_path
LA,Table I,4,seed2021,90.1321529605951,82.10218854181444,6.017831011227242,1.7259479720926891,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2021/vnet_predictions_ema/summary_metrics_ema.csv
LA,Table I,4,seed2022,89.87616229356907,81.67313081232585,6.460281630455016,1.749578705975031,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet_predictions_ema/summary_metrics_ema.csv
LA,Table I,4,seed2023,89.80898438530235,81.56823156858769,6.298704185918513,1.6508597225864114,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2023/vnet_predictions_ema/summary_metrics_ema.csv
LA,Table I,8,seed2021,91.19541758952693,83.87316213961192,5.680510077982624,1.53537545140023,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/8_labeled_r15_la10_gpu1_seed2021/vnet_predictions_ema/summary_metrics_ema.csv
LA,Table I,8,seed2023,91.22814927567005,83.9348243686068,5.691604262582839,1.4610365530869,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/8_labeled_r15_la10_gpu1_seed2023/vnet_predictions_ema/summary_metrics_ema.csv
LA,Table I,8,seed2022,91.26071242585795,83.97785643011832,5.855503362612035,1.5196440545631245,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/8_labeled_std_seed2022/vnet_predictions_ema/summary_metrics_ema.csv
Pancreas-NIH,Table II,6,seed2021,82.30636457751949,70.20066743870966,5.055727038141002,1.2105720708614112,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/Pancreas/6_labeled_std_seed2021/vnet_predictions_ema/summary_metrics_ema.csv
Pancreas-NIH,Table II,6,seed2022,82.49141629435591,70.484242962791,4.9079120606643105,1.2935318481002178,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/Pancreas/6_labeled_std_seed2022/vnet_predictions_ema/summary_metrics_ema.csv
Pancreas-NIH,Table II,6,seed2023,82.16404089454011,70.12137752633143,5.219151514587268,1.4057903075087643,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/Pancreas/6_labeled_std_seed2023/vnet_predictions_ema/summary_metrics_ema.csv
Pancreas-NIH,Table II,12,seed2021,83.51945660361817,72.00644289256863,4.538518214387674,1.1811363702395883,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/Pancreas/12_labeled_std_seed2021/vnet_predictions_ema/summary_metrics_ema.csv
Pancreas-NIH,Table II,12,seed2022,83.69028270807692,72.2499017117081,4.60509810489833,1.2833901127377714,,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/Pancreas/12_labeled_std_seed2022/vnet_predictions_ema/summary_metrics_ema.csv
