method,epoch,teacher_teacher,student_teacher_1,student_teacher_2,student_teacher_mean,student_ema
AD-MT,0,0.7228,0.902,0.8207,0.8613500000000001,
AD-MT,1,0.9553,0.9844,0.971,0.9777,
AD-MT,2,0.8764,0.8506,0.9312,0.8909,
AD-MT,3,0.955,0.7913,0.8476,0.81945,
AD-MT,4,0.9598,0.6876,0.6958,0.6917,
AD-MT,5,0.9704,0.7838,0.7887,0.78625,
AD-MT,6,0.9797,0.7925,0.8043,0.7984,
AD-MT,7,0.9788,0.802,0.8434,0.8227,
AD-MT,8,0.9607,0.8261,0.8785,0.8523,
AD-MT,9,0.9767,0.828,0.8485,0.8382499999999999,
AD-MT,10,0.9822,0.8609,0.8847,0.8728,
AD-MT,11,0.9849,0.8815,0.898,0.88975,
AD-MT,12,0.9878,0.8574,0.8416,0.8495,
AD-MT,13,0.9897,0.8276,0.8178,0.8227,
AD-MT,14,0.9925,0.9168,0.9154,0.9160999999999999,
AD-MT,15,0.9914,0.9223,0.9329,0.9276,
AD-MT,16,0.9913,0.9367,0.9493,0.9430000000000001,
AD-MT,17,0.9906,0.9318,0.9524,0.9420999999999999,
AD-MT,18,0.9917,0.9291,0.9359,0.9325,
AD-MT,19,0.9937,0.952,0.9647,0.95835,
AD-MT,20,0.9924,0.9567,0.9603,0.9585,
AD-MT,21,0.9915,0.953,0.962,0.9575,
AD-MT,22,0.9935,0.943,0.9567,0.94985,
AD-MT,23,0.993,0.9665,0.9743,0.9704,
AD-MT,24,0.9938,0.969,0.9751,0.97205,
AD-MT,25,0.9911,0.9656,0.9696,0.9676,
AD-MT,26,0.9958,0.9763,0.9799,0.9781,
AD-MT,27,0.9943,0.9692,0.9751,0.97215,
AD-MT,28,0.9947,0.9602,0.9616,0.9609000000000001,
AD-MT,29,0.9952,0.968,0.9662,0.9671,
AD-MT,30,0.9969,0.9749,0.9737,0.9742999999999999,
AD-MT,31,0.9957,0.9819,0.9822,0.98205,
AD-MT,32,0.9974,0.9849,0.9873,0.9861,
AD-MT,33,0.9972,0.9786,0.9804,0.9795,
