method,iteration,teacher_teacher,student_teacher_1,student_teacher_2,student_teacher_mean,student_ema,buffers_unchanged
AD-MT,1,0.07617880403995514,1.0,0.07617880403995514,0.5380894020199776,,True
AD-MT,2,0.08596958220005035,1.0000001192092896,0.08596958220005035,0.54298485070467,,True
AD-MT,3,0.0642014890909195,1.0,0.0642014890909195,0.5321007445454597,,True
AD-MT,4,0.031023744493722916,1.000000238418579,0.031023744493722916,0.515511991456151,,True
AD-MT,5,0.06342409551143646,0.9999998807907104,0.06342409551143646,0.5317119881510735,,True
AD-MT,6,0.033956848084926605,1.0,0.033956848084926605,0.5169784240424633,,True
AD-MT,7,0.06122119724750519,0.9999999403953552,0.06122119724750519,0.5306105688214302,,True
AD-MT,8,0.9893608689308167,0.9893608689308167,1.0,0.9946804344654083,,True
AD-MT,9,0.9521949291229248,0.9521949291229248,1.0,0.9760974645614624,,True
AD-MT,10,0.9245569109916687,0.9245569109916687,1.0,0.9622784554958344,,True
AD-MT,11,0.9205727577209473,0.9205727577209473,0.9999999403953552,0.9602863490581512,,True
AD-MT,12,0.8871351480484009,0.8871351480484009,1.0,0.9435675740242004,,True
AD-MT,13,0.8077390193939209,0.8077390193939209,1.0,0.9038695096969604,,True
AD-MT,14,0.8383059501647949,0.8383059501647949,1.0,0.9191529750823975,,True
AD-MT,15,0.7310352325439453,0.7310352325439453,1.0,0.8655176162719727,,True
AD-MT,16,0.802452802658081,0.802452802658081,1.0,0.9012264013290405,,True
AD-MT,17,0.6686747074127197,0.6686747074127197,1.0,0.8343373537063599,,True
AD-MT,18,0.6893728971481323,0.6893728971481323,1.0,0.8446864485740662,,True
AD-MT,19,0.622267484664917,0.622267484664917,1.0,0.8111337423324585,,True
AD-MT,20,0.5524151921272278,0.5524151921272278,1.0,0.7762075960636139,,True
AD-MT,21,0.549875020980835,0.549875020980835,1.0,0.7749375104904175,,True
AD-MT,22,0.5093556642532349,0.5093556642532349,1.0,0.7546778321266174,,True
AD-MT,23,0.9990459084510803,0.9999999403953552,0.9990459084510803,0.9995229244232178,,True
AD-MT,24,0.9951709508895874,1.0,0.9951709508895874,0.9975854754447937,,True
AD-MT,25,0.9902425408363342,0.9999998807907104,0.9902425408363342,0.9951212108135223,,True
AD-MT,26,0.9758459329605103,1.0,0.9758459329605103,0.9879229664802551,,True
AD-MT,27,0.968142032623291,1.0,0.968142032623291,0.9840710163116455,,True
AD-MT,28,0.960652232170105,1.0000001192092896,0.960652232170105,0.9803261756896973,,True
AD-MT,29,0.9442669153213501,0.9999999403953552,0.9442669153213501,0.9721334278583527,,True
AD-MT,30,0.9384868144989014,1.0000001192092896,0.9384868144989014,0.9692434668540955,,True
AD-MT,31,0.9987906217575073,0.9987906217575073,1.0000001192092896,0.9993953704833984,,True
AD-MT,32,0.9951655864715576,0.9951655864715576,1.0,0.9975827932357788,,True
AD-MT,33,0.9888893365859985,0.9888893365859985,1.0,0.9944446682929993,,True
AD-MT,34,0.9861345291137695,0.9861345291137695,1.0,0.9930672645568848,,True
AD-MT,35,0.974402666091919,0.974402666091919,1.0000001192092896,0.9872013926506042,,True
AD-MT,36,0.9695039987564087,0.9695039987564087,0.9999999403953552,0.984751969575882,,True
